Numero troncon;Num Noeud Origine;Num Noeud Destination;Type BPR;LONG (km);CAPATI (veh/h);V0TI (km/h)
24929;312600021;311287306;3;0,039604;2000;70
24930;311287306;312600021;3;0,039604;2000;70
24931;311287612;311287685;3;0,090632;2000;70
24932;311287633;311287612;3;0,106795;2000;70
24933;311287633;311287638;3;0,099337;2000;70
24934;311287638;312552671;3;0,196299;2000;70
24935;311287685;312553409;3;0,021526;2000;70
24936;312548397;311287685;3;0,065611;2000;70
24937;311287685;312548397;3;0,065611;2000;70
24938;312551173;311287712;3;0,05551;2000;70
24939;311287712;312551173;3;0,05551;2000;70
24940;311288352;311288035;3;0,04217;2000;70
24941;311288035;311288352;3;0,04217;2000;70
24942;312549423;311288035;3;0,125286;2000;70
24943;312548472;311288352;3;0,414905;2000;70
24944;311288352;312548472;3;0,414905;2000;70
24945;312599132;311288832;3;1,005677;2000;70
24946;311288832;312599132;3;1,005677;2000;70
24947;312595263;311288912;3;1,307939;2000;50
24948;311288912;312595263;3;1,307939;2000;50
24949;312575336;311288912;3;0,011787;2000;70
24950;311288912;312575336;3;0,011787;2000;70
24951;311289060;311288971;3;0,021725;2000;70
24952;311288971;311289060;3;0,021725;2000;70
24953;318670209;311289522;3;0,017261;2000;70
24954;311289522;318670209;3;0,017261;2000;70
24955;318669860;311289600;3;0,084839;2000;70
24956;311289600;318669860;3;0,084839;2000;70
24957;9516615042;311290050;3;0,235384;2000;70
24958;311290050;9516615042;3;0,235384;2000;70
24959;9516615042;311290063;3;0,280353;2000;70
24960;311290063;9516615042;3;0,280353;2000;70
24961;313084637;311290544;3;0,088799;2000;70
24962;311290544;313084637;3;0,088799;2000;70
24963;4340846510;311290791;3;0,027987;2000;70
24964;311290791;4340846510;3;0,027987;2000;70
24965;3507402319;312538826;3;0,055709;2000;70
24966;312538826;3507402319;3;0,055709;2000;70
24967;312599776;312548397;3;0,073111;2000;70
24968;312548397;312599776;3;0,073111;2000;70
24969;312599892;312548472;3;0,089205;2000;70
24970;312548472;312599892;3;0,089205;2000;70
24971;312553409;312549423;3;0,061502;2000;70
24972;312551349;312551173;3;0,233238;2000;70
24973;312551173;312551349;3;0,233238;2000;70
24974;313766336;312551349;3;2,070229;2000;80
24975;312551349;313766336;3;2,070229;2000;80
24976;312561568;312558720;3;0,120417;2000;70
24977;312558720;312561568;3;0,120417;2000;70
24978;7068704406;312558878;3;0,017762;2000;70
24979;312558878;7068704406;3;0,017762;2000;70
24980;1657632524;312560966;3;0,016279;2000;70
24981;312560966;1657632524;3;0,016279;2000;70
24982;7068704406;312560966;3;0,178131;2000;70
24983;312560966;7068704406;3;0,178131;2000;70
24984;312561346;312561126;3;0,048681;2000;70
24985;312561126;312561346;3;0,048681;2000;70
24986;312561568;312561126;3;0,484548;2000;70
24987;312561126;312561568;3;0,484548;2000;70
24988;1657632646;312561346;3;0,058035;2000;70
24989;312561346;1657632646;3;0,058035;2000;70
24990;312599132;312562839;3;0,352923;2000;70
24991;312562839;312599132;3;0,352923;2000;70
